Sr. No.,College Name,University Name,District,Taluka,Exclusively in Womens Colleges,College Types,"(Report no 5)
Whether Minority Institution (Yes/No)","Linguistic/
Religious_Type",JD Region,Correspondence Address,Email,Contact Phone 1,Contact Phone 2,Mobile,Principal Name,College Type
60,Bera-Chaudhuri College of Arts & Science,Shivaji University,Pune,Andheri,Co-Education,Rural,No,Select,Solapur,"74/45, Zacharia Circle, Kota-874083",nsekhon@choudhry.com,4768653352,+918482690894,+914795276059,Dr. Yuvraj  Chahal,Non-Aided
61,"Sagar, Sharma and Anne College of Arts & Science",Nagpur University,Aurangabad,Dharavi,Co-Education,Rural,Yes,Select,Nashik,"02/15, Andra Ganj, Mira-Bhayandar-435313",sahotadharmajan@mannan.com,6478152971,00830945176,01823212088,Dr. Samarth Anand,Aided
62,Hayer LLC College of Arts & Science,Savitribai Phule Pune University,Solapur,Andheri,Co-Education,Rural,No,Select,Nashik,"H.No. 074, Sabharwal Chowk, Rohtak-051884",jivikakoshy@sarma-sharaf.com,0684657344,+913386454369,+918352237396,Dr. Vihaan Khosla,Non-Aided
63,Sani-Sridhar College of Arts & Science,North Maharashtra University,Mumbai,Andheri,Girls Only,Rural,Yes,Select,Pune,"42/392, Date Road, Howrah-720982",vanya97@chaudhari.net,+910916090758,+919015907434,6157083797,Dr. Kabir Deshpande,Aided
64,Handa-Kashyap College of Arts & Science,North Maharashtra University,Solapur,Parvati,Girls Only,Rural,No,Select,Nashik,"H.No. 60, Dani Nagar, Anantapuram 540612",jhanvi35@sarna.net,06369767978,+918708682714,06275920310,Dr. Nirvi Ganesh,Non-Aided
65,"Dada, Dewan and Gopal College of Arts & Science",Nagpur University,Mumbai,Haveli,Co-Education,Urban,Yes,Select,Nagpur,"H.No. 89, Rau Nagar, Indore 756343",bijusabharwal@grewal-soni.com,7400207828,01161459302,+919951161675,Dr. Ivana Deol,Aided
66,"Bandi, Deol and Bhatia College of Arts & Science",North Maharashtra University,Solapur,Andheri,Girls Only,Rural,Yes,Select,Solapur,"48/548, Iyer Ganj, Shimoga-348125",pranay30@uppal.info,+916286656792,04988268803,+911940736569,Dr. Hiran Butala,Non-Aided
67,Dash-Date College of Arts & Science,North Maharashtra University,Solapur,Dharavi,Girls Only,Rural,Yes,Select,Solapur,"36/94, Borah Marg, Nadiad 634441",ydalal@gopal.com,08509170976,5719822780,+911933529696,Dr. Zaina Gole,Aided
68,Sankar-Ghose College of Arts & Science,Dr. Babasaheb Ambedkar Marathwada University,Nashik,Karjat,Co-Education,Rural,Yes,Select,Mumbai,"H.No. 24, Khare Street, Chapra 964638",jivinramesh@bhargava-borde.biz,+911489771249,+915989077181,03710046302,Dr. Dharmajan Chaudhary,Aided
69,"Malhotra, Kaur and Goel College of Arts & Science",North Maharashtra University,Nagpur,Parvati,Girls Only,Urban,Yes,Select,Nagpur,"H.No. 65, Bajaj Marg, Bhilai 450441",tdeep@sathe-sandhu.com,02966107389,0248825460,08052480707,Dr. Madhup Kurian,Aided
70,"Deo, Karpe and Kapoor College of Arts & Science",Mumbai University,Solapur,Andheri,Co-Education,Rural,No,Select,Nagpur,"H.No. 83, Batra Nagar, Hospet 003473",balasubramanianprisha@lad.com,09424717139,3836964448,09472373265,Dr. Myra Kulkarni,Aided
71,Srinivas Ltd College of Arts & Science,Savitribai Phule Pune University,Pune,Andheri,Girls Only,Urban,No,Select,Solapur,"60/72, Agarwal, Belgaum 521752",ratigoyal@baral-savant.com,5753890222,7877480989,09455714979,Dr. Tushar Sandal,Non-Aided
72,"Lad, Viswanathan and Seshadri College of Arts & Science",Nagpur University,Nagpur,Dharavi,Co-Education,Urban,Yes,Select,Nagpur,"17/62, Ghose Nagar, Ambarnath-525873",abram07@sen.info,+918755372834,0260879995,8157441897,Dr. Siya Sehgal,Non-Aided
73,Rau LLC College of Arts & Science,Shivaji University,Nagpur,Nanded,Co-Education,Rural,No,Select,Aurangabad,"H.No. 79, Barman Marg, Satna 195993",tejas88@goda.com,+913104747831,05116425866,09650972254,Dr. Anay Bali,Aided
74,Arora Group College of Arts & Science,Shivaji University,Mumbai,Haveli,Co-Education,Urban,No,Select,Pune,"79/14, Deol Circle, Miryalaguda 469434",vihaandhawan@shenoy.com,07645639698,04302248204,+913488030892,Dr. Aniruddh Badami,Aided
75,Kapoor Inc College of Arts & Science,Shivaji University,Aurangabad,Parvati,Girls Only,Urban,Yes,Select,Nashik,"10/018, Chatterjee Road, Erode 124072",xgokhale@chaudhary-manne.biz,+915626059632,04954515316,08231900290,Dr. Neelofar Agrawal,Non-Aided
76,Goswami-Sabharwal College of Arts & Science,North Maharashtra University,Aurangabad,Andheri,Girls Only,Urban,Yes,Select,Nagpur,"68/797, Kurian Circle, Thoothukudi-513472",vbobal@bajaj.net,2343311533,06300575333,+916664282209,Dr. Amani Chaudhary,Aided
77,Date-Magar College of Arts & Science,Dr. Babasaheb Ambedkar Marathwada University,Solapur,Karjat,Co-Education,Urban,No,Select,Nagpur,"H.No. 447, Choudhary, Cuttack-973196",akarpe@yohannan.info,+910307597040,+914834592122,07638877721,Dr. Ahana  Mand,Aided
78,"Thaker, Kata and Kar College of Arts & Science",Shivaji University,Nagpur,Karjat,Girls Only,Rural,Yes,Select,Mumbai,"H.No. 289, Goswami Road, Imphal 406402",dhanushsharma@shetty.com,+910016381563,+915999030368,+911244436613,Dr. Sara Doctor,Aided
79,Dugar PLC College of Arts & Science,Savitribai Phule Pune University,Mumbai,Haveli,Girls Only,Rural,No,Select,Nagpur,"26/31, Bajwa Marg, Bhimavaram-808038",mishti55@bandi-dewan.com,9761636522,04978925246,+919331714304,Dr. Amani Magar,Aided
80,"Dugal, Bora and Kala College of Arts & Science",Mumbai University,Solapur,Parvati,Girls Only,Rural,Yes,Select,Mumbai,"H.No. 44, Bansal Zila, Warangal-906501",rchaudry@karnik.com,+917418363172,0368398447,2154073050,Dr. Lakshit Khalsa,Non-Aided
81,Grewal and Sons College of Arts & Science,Dr. Babasaheb Ambedkar Marathwada University,Pune,Haveli,Co-Education,Rural,No,Select,Aurangabad,"H.No. 573, Dutt, Proddatur 368854",devivihaan@char-walla.com,9531835649,9187646899,1122609373,Dr. Lavanya Bains,Non-Aided
82,Wali Ltd College of Arts & Science,Dr. Babasaheb Ambedkar Marathwada University,Aurangabad,Karjat,Co-Education,Urban,No,Select,Nashik,"52/32, Bhatnagar Chowk, Nangloi Jat 904314",taran42@sangha.com,3322725585,0974900423,4246075914,Dr. Sahil Sawhney,Aided
83,Sankaran-Chakraborty College of Arts & Science,Nagpur University,Mumbai,Nanded,Girls Only,Urban,Yes,Select,Aurangabad,"76/246, Buch Chowk, Bhilwara 411091",xkannan@dalia.com,+917916758279,00854962190,0635942775,Dr. Divyansh Ramakrishnan,Non-Aided
84,"Gala, Kamdar and Setty College of Arts & Science",Mumbai University,Pune,Nanded,Girls Only,Rural,Yes,Select,Nashik,"H.No. 63, Bhandari Marg, Asansol 875222",ysandhu@chawla.net,+917684369841,6376953206,04828247577,Dr. Ivan Doshi,Non-Aided
85,Chand-Golla College of Arts & Science,Mumbai University,Nashik,Parvati,Co-Education,Urban,Yes,Select,Nashik,"10/32, Cheema Zila, Durgapur 765085",idutt@desai.com,03535458763,03424280846,+915605698019,Dr. Lakshit Bose,Aided
86,Bhatt LLC College of Arts & Science,Dr. Babasaheb Ambedkar Marathwada University,Pune,Andheri,Girls Only,Urban,No,Select,Nagpur,"33/78, Goel Zila, Shimla 038903",hvig@kala-shankar.biz,+915093123477,2294008722,3809813365,Dr. Mahika Solanki,Non-Aided
87,Bhargava Inc College of Arts & Science,Savitribai Phule Pune University,Aurangabad,Nanded,Co-Education,Urban,Yes,Select,Nagpur,"39/097, Ramakrishnan Chowk, Kharagpur 479127",manjari31@dhillon.com,+914187853685,06546371180,3540681016,Dr. Eshani Bedi,Aided
88,"Brar, Kashyap and Zachariah College of Arts & Science",North Maharashtra University,Solapur,Haveli,Co-Education,Urban,No,Select,Solapur,"H.No. 13, Gala Ganj, Khandwa 361288",qrajagopal@saha.com,2699472933,1688220782,+913796226547,Dr. Vritika Wali,Aided
89,Mammen and Sons College of Arts & Science,Dr. Babasaheb Ambedkar Marathwada University,Nagpur,Nanded,Girls Only,Rural,Yes,Select,Nagpur,"83/02, Sridhar Chowk, Bhubaneswar 232845",ksangha@tara.info,+913688601146,03448036456,7454009273,Dr. Emir Raja,Non-Aided
90,Brahmbhatt LLC College of Arts & Science,North Maharashtra University,Mumbai,Parvati,Girls Only,Urban,No,Select,Nagpur,"79, Rau Marg, Anantapur-608094",sara34@din.com,04585936923,9995645327,9340591682,Dr. Aradhya Dugar,Non-Aided
91,"Shenoy, Dhingra and Saini College of Arts & Science",Dr. Babasaheb Ambedkar Marathwada University,Pune,Andheri,Girls Only,Urban,No,Select,Aurangabad,"H.No. 045, Agate Nagar, Bongaigaon 125705",dbahri@gopal-bhardwaj.com,3815126988,5033028539,+911127530388,Dr. Ehsaan Rastogi,Non-Aided
92,Sodhi Ltd College of Arts & Science,Mumbai University,Aurangabad,Karjat,Girls Only,Urban,No,Select,Nashik,"990, Sood Ganj, Akola-745730",cchahal@agate.com,9428174255,+917385074351,+912685125562,Dr. Tanya Singh,Non-Aided
93,Viswanathan-Srinivasan College of Arts & Science,Mumbai University,Nagpur,Haveli,Co-Education,Urban,Yes,Select,Solapur,"H.No. 69, Sangha Marg, Vijayawada 049995",khatriazad@karpe.com,+919522557856,+915179165473,5825081710,Dr. Bhamini Dugar,Non-Aided
94,"Khurana, Yohannan and Chaudhari College of Arts & Science",Nagpur University,Nashik,Dharavi,Co-Education,Urban,No,Select,Solapur,"946, Raval Nagar, Miryalaguda 599611",elatata@sabharwal.com,02635882424,+914456425290,+919219051601,Dr. Kimaya Srinivas,Non-Aided
95,"Soni, Vyas and Chaudhuri College of Arts & Science",North Maharashtra University,Pune,Nanded,Co-Education,Rural,No,Select,Solapur,"95, Master Street, Guntakal 073525",nsaini@chaudhary.biz,+910400802789,05992481595,3488897488,Dr. Nakul Banik,Non-Aided
96,Das-Mandal College of Arts & Science,Savitribai Phule Pune University,Aurangabad,Karjat,Girls Only,Urban,Yes,Select,Aurangabad,"635, Sekhon, Nadiad-803807",baliadvik@balasubramanian.com,05591750429,+912537420653,+916209779901,Dr. Zain Soni,Non-Aided
97,Ramaswamy-Zacharia College of Arts & Science,Shivaji University,Nashik,Karjat,Girls Only,Rural,Yes,Select,Pune,"33/118, Thaker Road, Pondicherry-261136",keyakaul@joshi.com,+915494544372,9739697420,06437250344,Dr. Hridaan Wable,Aided
98,Dara Group College of Arts & Science,North Maharashtra University,Aurangabad,Haveli,Co-Education,Urban,No,Select,Solapur,"H.No. 388, Sahota Marg, Machilipatnam 041799",manjarihans@jaggi.com,07088081313,+910740120689,05480786665,Dr. Yakshit Goel,Aided
99,"Dass, Warrior and Contractor College of Arts & Science",North Maharashtra University,Nashik,Dharavi,Girls Only,Urban,Yes,Select,Aurangabad,"H.No. 91, Dua Circle, Bhavnagar 543127",lakshit19@kar.com,+912543189988,+914203508427,+911049744230,Dr. Saksham Hayer,Non-Aided
100,Majumdar Group College of Arts & Science,Shivaji University,Mumbai,Haveli,Co-Education,Rural,Yes,Select,Pune,"08, Bora Nagar, Ulhasnagar 723998",baradsumer@devan-bal.com,2450426298,+919732516520,08814676962,Dr. Akarsh Kata,Aided
101,"Chana, Sama and Contractor College of Arts & Science",Savitribai Phule Pune University,Pune,Nanded,Co-Education,Urban,Yes,Select,Aurangabad,"H.No. 18, Saraf Path, Faridabad-375386",fsinha@ganesh.com,6829745849,1313400050,+912071569264,Dr. Nitya Chhabra,Non-Aided
